meal name,ingredients,method
"

          Zesty orange marzipan        
","[u'175g caster sugar', u'175g icing sugar, plus extra for dusting', u'250g ground almond', u'grated zest and juice 1 ', u'1 ', u'1 egg yolk', u'shredless marmalade']","[u'Sift the sugars and ground almonds together, then stir through the orange zest. Beat together the egg and egg yolk, then add to the sugar mixture, stirring well.', u'Knead briefly to ensure the marzipan is completely mixed and pliable, adding a little orange juice if the mix is too dry, or icing sugar if too wet.', u'Place the cake on a cake board and use small balls of marzipan to plug any holes in the cake. Now glaze the cake with a thin layer of marmalade. Dust your work surface with a little icing sugar, then roll out the marzipan in one direction, keeping the pressure even and turning a \xbc turn every few rolls.', u'When large enough (about 40cm in diameter for a 20cm cake), roll the marzipan onto the rolling pin and lift onto the cake. Smooth the top with your palms and continue down over the sides of the cake, smoothing out any folds as you go. Trim with a knife where the marzipan meets the board, then leave to dry overnight.', u""How long does homemade marzipan keep? Although homemade marzipan contains raw eggs, the amount of sugar, and lack of moisture, prevents bacteria growing when left at room temperature, so your cake should last for 1-2 months iced. The most important thing is that you don't scrimp on drying time \u2013 once you\u2019ve covered your cake in marzipan it should be left to completely dry out for up to 3 days, before you then cover it with icing. If you want to make marzipan before you are ready to cover your cake, then wrap it well in cling film and keep in a fridge for up to a week \u2013 as wrapped in a ball it will still contain a little moisture. As it contains raw eggs it shouldn\u2019t be given to anyone in an at-risk group, including pregnant women, the elderly, the unwell and the very young. You can make a cooked marzipan, which carries no risks. It is a little softer, and harder to work with, but a good substitute if you are at all worried.""]"
"

          John's chilli con carne        
","[u'80ml ', u'2 large ', u', roughly chopped', u'2 large dried ancho ', u' (buy from Waitrose or ocado.com)', u'3 dried cascabel ', u' (buy from Waitrose or ocado.com)', u'2 tsp smoked paprika', u'2 tsp dried ', u'3 celery sticks, finely chopped', u'1 beef stock cube', u'1\xbdkg ', u' shin, boneless and cut into large chunks', u'1 tbsp plain flour', u'3 ', u', trimmed, left whole', u'50ml maple syrup', u'1 can chopped tomatoes', u'500ml bottle dark beer', u'500ml fresh beef stock', u'fresh coriander sprigs, to serve']","[u'Heat oven to 160C/140C fan/ gas 3. Heat a large cast-iron pot or saucepan over a high flame, pour in the oil, then drop in the onions, chillies, paprika and thyme. Cook for 5 mins until the onions soften. Add the celery, give it a stir and crumble in the stock cube. Stir again and cook for another 5 mins', u'Add the beef, stir well, then colour for a few mins to coat the meat with the spices. Add the flour and coat everything with a more few stirs, then add the remaining ingredients, along with 1 tsp salt.', u'Let it come to the boil, then put a lid on, place in the oven, reduce the temperature to 140C/120C fan/ gas 1 and cook for 4 1 /2 hrs.', u'Take the pot out of the oven and remove the carrots, chop them into small chunks, then put them back in. I like plenty of sauce, but you may want to remove some if you don\u2019t want it too saucy \u2013 be sure to keep it, it\u2019s great on toast when cold. Remember to remove the chillies before you serve. Finally, scatter with coriander, if you like']"
"

          Spiced squash pasta with lime pickle        
","[u'2 tbsp vegetable oil', u'100g red curry paste', u'2 tbsp palm sugar or soft brown sugar', u'1 butternut squash, peeled, deseeded and diced into 3-4cm chunks', u'3 lemongrass, crushed', u'2 x 400g cans coconut milk', u'2-3 big spoonfuls hot Indian ', u' pickle (if your pickle is very hot, use a little less of it)', u'500g bag fettuccine', u'small bunch coriander, chopped']","[u'Heat the oil in a wok or your largest wide-based pan. Add the curry paste and fry for 2 mins. Add the palm sugar and cook for 4 mins until sticky and fragrant. This makes the sauce richer and sweeter. Add the squash and lemongrass (by keeping the sticks whole, you can take them out easily at the end). Stir well and cook for 2-3 mins, then pour in the coconut milk with the lime pickle. Bring to the boil and simmer for 20-30 mins over a medium heat until the squash is tender but not mushy.', u'When the squash is nearly ready, cook the pasta, then drain well. Pour half the sauce into a big bowl, then add the pasta. Mix well with tongs, then add the remaining sauce before scattering with coriander leaves to finish.']"
"

          Warm greens & shallots with allspice dressing        
","[u'400g ', u'1 tbsp olive or ', u'3 tbsp white wine vinegar', u'3 tbsp clear honey', u'\xbd  tsp ground allspice', u'400g mixed green vegetables (we used green beans, broccoli and peas)']","[u'Cover the shallots with boiling water and set aside until cool enough to handle, then peel and discard the skins.', u'Heat the oil in a large pan, and add the shallots. Cover with a lid and cook over a low heat for 8-10 mins until starting to caramelise. Add the vinegar, honey and allspice to the pan along with some seasoning. Give everything a good shake in the pan, then bubble for 10 mins until the shallots are tender and sticky, adding a splash of water if the honey looks like it might burn.', u'Meanwhile, bring a large pan of water to the boil, add the greens and cook for 2 mins until they are just tender but still have a nice bite. Add to the shallots and toss through the sticky dressing.']"
"

          Grilled chicken with chilli & sesame seeds        
","[u'2 skinless chicken breast', u'1 tbsp vegetable oil', u'1\xbd  tbsp sriracha chilli sauce (see tip below)', u'2 tsp grated ', u'2 tbsp clear honey', u'2 tbsp rice vinegar', u'240g pack Tenderstem ', u'1 tbsp sesame seeds, toasted']","[u'Slice each chicken breast lengthways into 2 thin pieces. Rub with the oil and season on both sides. Heat a grill pan and cook the pieces for 2-3 mins each side.', u'While the chicken is cooking, mix the chilli sauce, ginger, honey and vinegar with a little seasoning in a small bowl. Brush over the chicken as it cooks \u2013 wait until it is grilled on one side first before brushing, or it will burn.', u'Blanch the broccoli, divide between the plates and pour over the remaining sauce. Top with the chicken and sesame seeds.']"
"

          Carrot & raisin sandwiches        
","[u'1 large ', u', peeled and grated', u'2 tbsp raisin', u'1 tbsp ', u'\xbd  tbsp white wine vinegar', u'1 tbsp chopped ', u'4-6 slices brown bread', u'3 tbsp houmous']","[u'Mix the carrot with the raisins, olive oil and vinegar. Season and add the mint.', u'Spread 2-3 slices of the bread with houmous, top with the carrot mix and sandwich with 2-3 more slices. Cut into your desired shapes.']"
"

          Zabaglione trifle slice        
","[u'4 egg yolk', u'100g golden caster sugar', u'100ml white wine, not too dry', u'100ml marsala', u'284ml carton double cream', u'200g panettone', u'3-4 tbsp marsala', u'425g can pitted black ', u', well drained', u'cocoa powder, for sifting', u'holly, to decorate']","[u'For the zabaglione cream, put the egg yolks and sugar into a large bowl. Whisk with an electric hand beater for 2 mins until lighter in colour and falling in thick ribbons. Continue to beat while gradually pouring in the wine, then the marsala. Pour this into a medium, preferably non-stick saucepan. Stir over a lowish heat until it thickens. It takes 5-7 mins, by which time it should thickly coat the back of the spoon and be light and frothy. Pour into a bowl and chill for 45 mins, or better still, overnight.', u'Meanwhile, slice the panettone and lay it in overlapping slices on the bottom (not up the sides) of a 20cm loose-bottomed, round cake tin (5.5cm deep), pressing the slices down so they completely line the base (you are creating a panettone layer). Drizzle over the 3-4 tbsp of marsala, so each slice gets a little bit, and let it soak in. Tip the drained cherries onto kitchen paper and pat dry (if they are too wet the panettone will go soggy when it thaws), then halve each one to make it easier to cut later.', u'Whip the cream into soft peaks and fold it into the cold marsala mixture. If it all seems a bit lumpy, give it a quick beat with a wire whisk. Pour the zabaglione cream over the cherries and give it a few swirls so it is slightly undulating on top.', u'Open-freeze until firm, then cover with cling film and foil, and freeze for up to 1 month.', u'When ready to use, unwrap and thaw in the fridge for about 2-2\xbd hrs (it should be quite moussey), then serve, generously dusted with sifted cocoa powder and topped with holly. Serve cut in wedges.']"
"

          Clam, chorizo & white bean stew        
","[u'50g ', u', diced', u'1 ', u', finely chopped', u'1 garlic clove, crushed', u'small bunch flat-leaf parsley, \xbd finely chopped, \xbd roughly chopped', u'200ml hot stock, fish or vegetable', u'400g can chopped tomatoes', u'400g can butter beans or white beans, rinsed and drained', u'1 tsp sherry vinegar', u'600g clams, cleaned', u'crusty bread, to serve']","[u'Fry the chorizo in a large frying pan with a lid, over a medium heat until it is starting to crisp up and release its oil. Add the onion and cook for 5 mins until starting to soften. Then add the garlic and finely chopped parsley, and fry for 1 min more.', u'Pour on the stock and tomatoes. Bring to the boil, reduce the heat, then add the beans and sherry vinegar. Simmer for 10 mins until the liquid is slightly reduced.', u'Scatter over the clams, cover with the lid and steam for 2-4 mins, shaking the pan occasionally until the clams are open. Have a little taste before seasoning, as the clams can be quite salty. Then scatter over the chopped parsley. Eat with lots of crusty bread.']"
"

          Mini toad-in-the-holes        
","[u'24 uncooked cocktail sausage', u'2 tbsp ', u'3 ', u' (this will be 150ml)', u'150ml plain flour', u'\xbd  tsp mustard powder (optional)', u'150ml ', u'12 small ', u' sprigs', u'3 tbsp red onion marmalade', u'1 tbsp plain flour', u'1 tsp ', u' powder', u'squeeze of ketchup', u'500ml beef stock made with 1 stock cube', u'small splash of ']","[u'KIDS the writing in bold is for you. GROWN-UPS the rest is for you. Cut the sausages with scissors. Heat oven to 220C/200C fan/gas 6. If the sausages are linked, get your child to use a pair of scissors to cut them into single sausages.', u'Count the sausages. Place 2 sausages in each hole of a 12-hole muffin tin and go through all the maths this involves \u2013 two times table, counting up in twos etc. Drizzle each set of sausages with a little oil. Children from about seven upwards can now place the tin in the oven for 20 mins until the sausages have browned, getting a grown-up to turn the sausages halfway through.', u'Crack some eggs. Over a small bowl, get the child to hold the egg in one hand, then tap it with a cutlery knife until it just cracks. Then get them to put down the knife and open the egg into the small bowl. You can now check for any bits of shell before tipping it into a larger bowl. Repeat with all the eggs \u2013 this should keep them busy.', u'Make a batter. Get the child to measure 150ml flour in a measuring jug and tip into a bowl with the mustard powder. Make a well in the centre and beat in the eggs. Measure the milk.', u'Pour in the milk. Gradually pour the milk into the batter \u2013 get the child to whisk well between each addition \u2013 until you have a mix that is the consistency of double cream. Season. Pour the batter back into the jug.', u'Sizzle the batter. Remove the sausages from the oven and place on a heatproof surface. Very carefully, and making sure that they don\u2019t touch the hot tin, get the child to pour the batter over the sausages and throw a sprig of rosemary into each hole. Only get children aged seven upwards to do this. A grown-up needs to place them back in the oven.', u'Cook in the oven. Leave the batter to cook for 15 mins undisturbed. But if your oven has a clear glass door, let the kids watch the batter rise. Remove the tin from the oven. Leave to cool for a few mins, then serve with gravy, mash and vegetables.']"
"

          Pumpkin risotto        
","[u'1 small ', u' or butternut squash- after peeling and scraping out the seeds, you need about 400g/14oz', u'1 tbsp ', u', plus a drizzle for the pumpkin', u'2 garlic clove', u'8 ', u'25g ', u'200g ', u'2 tsp ground cumin', u'1l hot vegetable stock, plus extra splash if needed', u'50g grated ', u' (or vegetarian alternative)', u'small handful coriander, roughly chopped']","[u'Heat oven to 180C/160C fan/ gas 4. Chop up the pumpkin or squash into 1.5cm cubes (kids- ask for help if it\u2019s slippery). Put it on a baking tray, drizzle over some oil, then roast for 30 mins.', u'While the pumpkin is roasting, you can make the risotto. Put the garlic in a sandwich bag, then bash lightly with a rolling pin until it\u2019s crushed.', u'Cut up the spring onions with your scissors.', u'Heat 1 tbsp oil with the butter in your pan over a medium heat \u2013 not too hot. Add the spring onions and garlic. Once the onions are soft but not getting brown, add the rice and cumin. Stir well to coat in the buttery mix for about 1 min.', u'Now add half a cup of the stock, and stir every now and then until it has all disappeared into the rice. Carry on adding and stirring in a large splash of stock at a time, until you have used up all the stock \u2013 this will take about 20 mins.', u'Check the rice is cooked. If it isn\u2019t, add a splash more stock, and carry on cooking for a bit. Once the rice is soft enough to eat, gently stir in the grated cheese, chopped coriander and roasted pumpkin.']"
"

          Chorizo, potato & cheese omelette        
","[u'1 small ', u', cut into 2cm dice', u'1 tsp ', u'50g ', u', chopped', u'2-3 ', u'chopped ', u'25g grated ']","[u'Cook the potato in boiling water for 8-10 mins or until tender. Drain and allow to steam-dry. Heat oil in an omelette pan, add chorizo and cook for 2 mins. Add the potato and cook for a further 5 mins until the potato starts to crisp. Spoon pan contents out, wipe pan and cook a 2 or 3-egg omelette in the same pan. When almost cooked, scatter with the chorizo and potato, parsley and cheese. Fold the omelette in the pan and cook for 1 min more to melt the cheese.']"
"

          Frosted white chocolate Easter cake        
","[u'250g ', u', plus a little extra for greasing', u'140g white chocolate, broken into pieces', u'250ml ', u'1 tsp vanilla extract', u'250g self-raising flour', u'\xbc tsp ', u'300g caster sugar', u'2 large ', u', lightly beaten', u'300g tub Philadelphia cheese', u'85g ', u', softened', u'100g icing sugar, sifted', u'mini ', u', to decorate (or use 50g/2oz chopped hazelnuts)']","[u'Heat oven to 160C/fan 140C/gas 3. Grease a deep 23cm cake tin and line the base with greaseproof paper. Place the butter, white chocolate, milk and vanilla extract in a small saucepan, then heat gently, stirring, until melted. Combine the flour, bicarb and sugar in a large bowl with a pinch of salt, then stir in the melted ingredients and eggs until smooth. Pour the batter into the tin, then bake for 1 hr, or until the cake is golden and a skewer inserted into the centre comes out clean. Cool in the tin. Once cool, the cake can be wrapped in cling film and foil, then frozen for up to 1 month.', u'To make the frosting, beat together the Philadelphia, butter and icing sugar until smooth. Spread over the cake, then decorate with mini eggs.']"
"

          Spiced & sweet lassis        
","[u'low fat ', u'water', u'a few toasted ', u' seeds', u'a little chopped fresh coriander', u', to taste', u'few drops of rosewater, to taste']","[u'For spiced lassi, whisk equal amounts of low-fat yogurt with water using a balloon whisk to create a frothy foam, then serve sprinkled with a few toasted cumin seeds and a little chopped fresh coriander. For a sweet version, whisk the yogurt and water with a little sugar to taste and a few drops of rose water.']"
"

          Festive red cabbage        
","[u'1 tbsp vegetable oil', u'2 large ', u', finely chopped', u'1 ', u'1 cinnamon stick', u'150ml red wine', u'1 red cabbage (about 900g/2lb), shredded', u'2 tbsp dark brown soft sugar', u'2 ', u', peeled and chopped']","[u'Heat the oil in a large flameproof casserole dish, add the onions and cook on a medium heat for 8-10 mins, then add the star anise and cinnamon stick.', u'Pour in the wine and let it simmer until slightly reduced. Add the cabbage, sugar and apples, and stir well. Season well, cover and simmer on a low heat for 3 hrs, stirring every now and again.', u'Once the cabbage is tender, check the seasoning. Serve in a bowl with the star anise and cinnamon stick on top. Can be made 1-2 days in advance or frozen for up to 4 months \u2013 simply reheat on the hob before serving.']"
"

          Secret green sauce spaghetti        
","[u'400g spaghetti', u'100g bag baby spinach', u'140g frozen pea', u'small bunch ', u', leaves picked, a few reserved to serve', u'3 tbsp green pesto', u'150ml pot single cream', u'50g ', u' (or vegetarian alternative), grated, plus a little extra to serve']","[u'Cook the spaghetti following pack instructions. Meanwhile, boil the kettle, put the spinach and peas in a bowl, and cover with boiling water. Leave for about 3 mins until the peas are tender, then drain well. Tip the veg into a food processor or blender, add the basil, pesto, cream and Parmesan, and whizz to make a smooth sauce.', u'Drain the pasta, reserving a little of the cooking water, and return to the pan. Pour over the sauce and return to a low heat to cook for a few mins, until the sauce clings to the spaghetti. Add a little pasta water if it looks too dry, season to taste and serve with extra Parmesan and scattered with basil leaves, if you like.']"
"

          Grilled salmon & mango salad with coconut dressing        
","[u'4 salmon fillet (about 125g each), boned and skinned', u'1 tbsp light soft brown sugar', u'100g green bean, trimmed', u'1 large ripe mango, peeled and cut into slices', u'2 ', u', very thinly sliced and broken into rings', u'handful ', u' or coriander leaves', u'50g toasted desiccated coconut', u'1 thumb-sized red chilli, thinly sliced', u'3 tbsp coconut cream', u'juice 2 ', u', plus wedges to serve', u'1 tbsp ', u'2 tsp soft brown sugar']","[u'Heat the grill. Place the salmon, skin-side up, on a foil-lined tray, season well and rub the sugar on top. Grill for about 10 mins until cooked through.', u'Meanwhile, blanch the beans in boiling water for 1 min, drain, rinse in cold water and drain again. Arrange on 4 plates, then add the mango and shallots.', u'Mix the dressing ingredients in a small bowl. Break the salmon into a few pieces over each plate. Add the mint or coriander leaves, coconut and chilli to each. Pour over the dressing and serve with a lime wedge.']"
"

          Chicken & chorizo rice pot        
","[u'1 tbsp oil', u'8 ', u' pieces or 1 whole chicken, jointed', u'1 large ', u', chopped', u'1 red pepper, deseeded and chopped into large chunks', u'3 garlic clove, crushed', u'225g ', u', skinned and sliced', u'1 tbsp tomato pur\xe9e', u'1 tbsp thyme leaf, chopped', u'150ml white wine', u'850ml chicken stock', u'400g long grain rice', u'2 tbsp chopped ']","[u'Heat the oil in a large flameproof casserole dish and brown the chicken pieces on all sides \u2013 you may have to do this in batches. Remove from the dish and put to one side.', u'Lower the heat, add the onion and pepper, and gently cook for 10 mins until softened. Add the garlic and chorizo, and cook for a further 2 mins until the chorizo has released some of its oils into the dish. Stir in the tomato pur\xe9e and cook for 1 min more.', u'Return the chicken pieces to the dish along with the thyme, white wine and stock. Bring the liquid to a boil, cover the dish with a tight-fitting lid and lower the heat. Cook for 30 mins.', u'Tip in the rice and stir everything together. Cover, set over a low heat and cook for a further 15 mins, or until the rice is cooked and has absorbed most of the cooking liquid. Remove from the heat and leave the dish to sit for 10 mins to absorb any remaining liquid. Season to taste and scatter with parsley to serve.']"
"

          Pancake bites        
","[u'8 pancakes (see recipe link below)', u'three quarters of a 200g tub low-fat soft cheese', u'140g roasted ', u', in oil from a jar or the deli, drained', u'140g roasted ', u', in oil from a jar or the deli, drained', u'about 24 ', u' leaves']","[u'Lay each pancake on a work surface and spread a little of the soft cheese in the centre of each. Tear or snip the peppers and aubergines into pieces and scatter them over the cheese. Lay about 3 basil leaves on top of each pancake, then sprinkle generously with freshly ground black pepper and a little salt.', u'Fold two sides of each pancake into the centre, then the opposite two sides to make a square parcel. Cut diagonally through the middle to make two triangles. Serve at room temperature and eat with your hands.']"
"

          Ultimate meringue        
","[u'4 large organic egg whites, at room temperature', u'115g caster sugar', u'115g icing sugar']","[u'Preheat the oven to fan 100C/ conventional 110C/gas 1\u20444. Line 2 baking sheets with Bake-O-Glide non-stick liner or parchment paper (meringue can stick on greaseproof paper and foil).', u'Tip the 4 large egg whites into a large clean mixing bowl (not plastic). Beat them on medium speed with an electric hand whisk until the mixture resembles a fluffy cloud and stands up in stiff peaks when the blades are lifted.', u'Now turn the speed up and start to add 115g caster sugar, a dessertspoonful at a time. Continue beating for 3-4 seconds between each addition. It\u2019s important to add the sugar slowly at this stage as it helps prevent the meringue from weeping later. However, don\u2019t over-beat. When ready, the mixture should be thick and glossy.', u'Sift one third of the 115g icing sugar over the mixture, then gently fold it in with a big metal spoon or rubber spatula. Continue to sift and fold in the remaining icing sugar a third at a time. Again, don\u2019t over-mix. The mixture should now look smooth and billowy, almost like a snow drift.', u'Scoop up a heaped dessertspoonful of the mixture. Using another dessertspoon, ease it on to the baking sheet to make an oval shape (pic 3). Or just drop them in rough rounds, if you prefer. Bake for 1 1\u20442-1 3\u20444 hours in a fan oven, 1 1\u20444 hours in a conventional or gas oven, until the meringues sound crisp when tapped underneath and are a pale coffee colour. Leave to cool on the trays or a cooling rack. (The meringues will now keep in an airtight tin for up to 2 weeks, or frozen for a month.) Serve two meringues sandwiched together with a generous dollop of softly whipped double cream.']"
"

          Five-spice mix        
","[u'2 tbsp ', u' or 2 cinnamon sticks', u'1 tbsp ', u'6 ', u'2 tsp Sichuan peppercorn', u'1 tsp whole ']","[u'Toast the whole spices in a small pan until they are aromatic and have turned a shade or two darker. Don\u2019t be tempted to skip this stage, as it really enhances the flavours.', u'Tip into a spice grinder (or use a pestle and mortar), then add the ready-ground spices and dried herbs if required, and crush to a fine powder. Store in a sealed jar for up to six months.']"
"

          Orange & blueberry Bircher        
","[u'70g porridge oats', u'2 tbsp golden linseeds', u'zest of \xbd  an ', u'\xbe  of a 175g tub ', u'2 peeled and chopped ', u'4 handfuls blueberries from a 150g pack']","[u'Mix 70g oats and 2 tbsp golden linseeds with the zest of 1 /2 an orange. Pour over 300ml boiling water and leave overnight. The next day, stir in three-quarters of a 175g tub of yogurt, spoon into glasses or bowls, top with 2 peeled and chopped oranges, the remaining yogurt and 4 handfuls blueberries from a 150g pack.']"
"

          One-pot Moroccan chicken        
","[u'4 skinless chicken breast', u'1 tsp ground cumin', u'1 tbsp ', u'1 ', u', finely sliced', u'400g can cherry tomato', u'2 tbsp ', u' paste (we used Belazu Rose Harissa)', u'1 tbsp clear honey', u'2 medium ', u', thickly sliced', u'400g can chickpea, drained and rinsed']","[u'Season the chicken breasts all over with the cumin and lots of ground black pepper. Heat the oil in a large non-stick frying pan and cook the chicken with the onion for 4 mins. Turn the chicken over and cook for a further 3 mins. Stir the onions around the chicken regularly as they cook.', u'Tip the tomatoes and 250ml water into the pan and stir in the harissa, honey, courgettes and chickpeas. Bring to a gentle simmer and cook for 15 mins until the chicken is tender and the sauce has thickened slightly.']"
"

          Easter chocolate truffle cake        
","[u'150ml ', u' or groundnut oil, plus extra for greasing', u'175g self-raising flour, plus extra for dusting', u'4 tbsp cocoa powder', u'1 tsp ', u'1 tsp ', u'140g golden caster sugar', u'2 tbsp golden syrup', u'2 ', u'150ml full-fat ', u'125ml double cream', u'1 tbsp soft ', u'140g dark chocolate (about 70% cocoa solids)', u'4 tbsp raspberry jam or apricot jam', u'100g milk chocolate, broken into chunks', u'1 tsp soft ', u'50g digestive biscuits', u'2-3 tbsp coloured or chocolate sprinkles']","[u'Heat oven to 160C/140C fan/gas 3. Grease two 20cm cake tins and dust with flour. Tip all the cake ingredients into a large bowl and beat well with an electric hand whisk or wooden spoon to give a smooth, thick batter consistency.', u'Divide the mixture between the tins and bake in the oven for 30-35 mins until it springs back to the touch and a skewer inserted into the centre comes out clean. Leave to cool in the tins for about 10 mins, then turn out onto a wire rack.', u'Meanwhile, make the truffles. In a bowl, gently melt the milk chocolate in the microwave or over a pan of simmering water. Stir in the butter. Put the biscuits in a sandwich bag and crush them to fine crumbs by bashing with a rolling pin. Mix into the chocolate\xa0and chill in the fridge for about 20 mins. When chilled, roll into 11 even-sized balls with your hands. Coat in sprinkles and set aside.', u'For the icing, pour the cream into a saucepan and place over a medium heat. Once hot, stir in the butter until melted. Break the chocolate into small pieces, tip into a medium bowl and pour over the hot cream mixture. Stir well until the chocolate melts into the cream. Cool for about 30 mins.', u'Once the cake is completely cool, sandwich the two sponges together with the jam in the middle. Spread the top and sides with the icing. Finish by placing the truffles around the outside of the cake.']"
"

          Thai chicken cakes with sweet chilli sauce        
","[u'2 large boneless, skinless chicken breast (about 175g/6oz each), cubed', u'1 garlic clove, roughly chopped', u'small piece fresh root ginger, peeled and roughly chopped', u'1 small ', u', roughly chopped', u'4 tbsp fresh coriander, plus a few sprigs to garnish', u'1 green ', u', seeded and roughly chopped', u'2 tbsp ', u'sweet chilli sauce, lime wedges, shredded spring onion and red chilli, to serve']","[u'Toss the chicken, garlic, ginger, onion, coriander and chilli into a food processor and season well. Blitz until the chicken is finely ground and everything is well mixed. Use your hands to shape six small cakes.', u'Heat the oil in a frying pan, then fry the cakes over a medium heat for about 6-8 minutes, turning once. Serve hot, with sweet chilli sauce, lime wedges, coriander, shredded spring onion and red chilli.']"
"

          Chicken in a wrap        
","[u'2 chicken breast', u""50g soft goat's cheese"", u'4 rashers streaky bacon', u'handful of fresh ', u' leaves', u'1 tbsp ']","[u'Skin 2 chicken breasts, then cut a pocket in each side and stuff each with 25g/1oz soft goat\u2019s cheese.', u'Wrap each breast in 2 rashers rindless streaky bacon, tucking in a few fresh sage leaves, then put the breasts in a baking dish and season. Spoon over 1 tbsp olive oil.', u""Roast the chicken breasts in a baking dish, uncovered, for 30-35 minutes in a preheated oven (190C/gas 5/fan oven 170C). To check if they are done, prod the chicken with your finger - if it's still a bit soft, give it a bit longer."", u'Serve with a gratin of potatoes and leeks.']"
"

          Asian-style chicken noodle soup        
","[u'125g (2 bundles) of stir fry noodles', u'1.2l good quality chicken stock', u'2 shredded ', u'1 tsp grated ', u'2 tbsp finely chopped coriander', u'418g can creamed-style corn', u'2 cooked, shredded skinless chicken breast']","[u'Soak the stir fry noodles for 4 minutes in boiling water. Drain, rinse, drain again. Divide between 4 soup bowls.', u'Heat the chicken stock in a pan with the shredded lime leaves, grated ginger and finely chopped coriander.', u'Bring to a boil and add the can of creamed-style corn and the cooked, shredded skinless chicken breasts. Heat for 2 minutes, then ladle over noodles and serve.']"
"

          White chocolate spotty cake        
","[u'250g pack ', u', softened', u'300g self-raising flour', u'250g golden caster sugar', u'\xbd  tsp ', u'4 ', u'150ml pot natural yogurt', u'3 tbsp ', u'1 tsp ', u' paste', u'200g bar white chocolate, half chopped', u'300g soft cheese, not fridge cold', u'100g icing sugar, sifted', u'sweets, to decorate']","[u'Heat oven to 180C/160C fan/gas 4. Grease a 20 x 30cm tin, then line with baking parchment. Beat the butter, flour, sugar, baking powder, eggs, yogurt, milk and vanilla until lump-free. Stir in the chopped chocolate. Spoon into tin; bake for 25-30 mins until golden and risen and a skewer comes out clean. Cool in the tin.', u'Melt the rest of the chocolate. Stir icing sugar into soft cheese, then the chocolate until smooth. Chill, spread over the cake, then cut into squares and decorate.']"
"

          Smoked mackerel & potato bake        
","[u'700g ', u', cut into 3cm cubes', u'1 small ', u', thinly sliced', u'25g ', u'200g smoked mackerel', u'2 tbsp chopped dill', u'150ml double cream', u'100ml fish stock', u'2 tbsp creamed horseradish']","[u'Heat oven to 200C/180C fan/gas 6. Cook the potatoes and onion in boiling, salted water for 6-7 mins until almost tender. Drain well. Grease a 20 x 20cm baking dish with a little of the butter, then arrange the potatoes in it.', u'Break the fish into chunky pieces, discarding any skin and bones. Tuck the pieces in and around the potatoes, then scatter over the dill. Whisk the cream, stock and horseradish together and season. Pour over the potatoes. Dot the remaining butter over the top, then bake for 20-25 mins until golden. Serve with a green salad, if you like.']"
"

          Blue cheese, butternut & barley salad with maple walnuts        
","[u'1 butternut squash, peeled and cut into large chunks, seeds reserved', u'2 red onion, each cut into quarters', u'3 garlic clove, peeled and bashed', u'3\xbd  tbsp extra-virgin olive oil', u'handful thyme sprigs, leaves stripped, plus extra to garnish', u'300g pearl barley', u'50g ', u', roughly chopped', u'1\xbd  tbsp maple syrup', u'1 tsp brown sugar', u'\xbd  tsp chilli flakes', u'2 tsp ', u'1 tsp Dijon mustard', u'100g baby spinach, shredded', u'140g blue cheese, thinly sliced']","[u'Heat oven to 200C/180C fan/gas 6. Toss the squash, onions and garlic with 2 tbsp of the oil and some seasoning. Roast for 35-45 mins or until the vegetables crisp up in places \u2013 turning halfway through cooking and adding the thyme leaves. Remove from the oven and allow to cool, discarding the garlic. Cook the barley, following pack instructions, until al dente. Drain and cool.', u'Meanwhile, rinse the squash seeds, removing any flesh, and dry thoroughly. Put the walnuts and squash seeds in a frying pan and toast until golden brown. Add \xbd tbsp oil, the maple syrup, sugar, chilli flakes and some salt. Let it bubble for a few mins, until the sugar has caramelised. Tip onto a tray, allow to cool, then bash into pieces. Make a dressing by mixing the balsamic, mustard, remaining oil and some seasoning.', u'Toss the squash and onions through the barley, followed by the spinach and dressing. Scatter over the cheese, nuts and some extra thyme sprigs to serve.']"
"

          Griddled peaches with prosciutto & blue cheese        
","[u'4 ripe ', u', stoned and quarters', u'4 tbsp ', u'100g bag of ', u'100g blue cheese, crumbled', u'85g pack ', u'1 tbsp ']","[u'Brush the peach quarters with 2 tbsp of the olive oil and grind a little black pepper over. Heat a griddle pan until really hot, add the peaches, cooking for 2-3 mins on each cut side until caramelised. Set aside.', u'Toss the rocket in 1 tbsp of the olive oil and pile up with the cheese and prosciutto on 4 plates. Top with the peach quarters. Whisk together the remaining oil and the vinegar, spoon over the salad and serve.']"
"

          Spiced carrot, chickpea & almond pilaf        
","[u'1 tbsp ', u'2 ', u', finely chopped', u'3 ', u' (about 300g/11oz), coarsely grated', u'2 tbsp ', u'300g/ 11oz basmati rice, rinsed', u'700ml/ 1\xbc pints vegetable stock, made with 1 stock cube (or equivalent)', u'400g can chickpea, drained and rinsed', u'25g/ 1oz toasted flaked almond', u'200g pot Greek yogurt']","[u'Heat the oil in a lidded casserole dish. Add the onions and cook for 8 mins, until soft. Tip in the carrots, harissa and rice and stir for a couple of mins. Pour over the stock, bring to the boil, then cover with the lid and simmer for 10 mins.', u'Fork through the chickpeas and cook gently for 3-5 mins more, until the grains of rice are tender and all the liquid has been absorbed. Season, turn off the heat, cover and leave to sit for a few mins.', u'Sprinkle the almonds over the rice mixture and serve with a dollop of yogurt.']"
